@relation kdd

@attribute attribution1 numeric
@attribute attribution2 numeric
@attribute attribution3 numeric
@attribute attribution4 numeric
@attribute attribution5 numeric
@attribute attribution6 numeric
@attribute attribution7 numeric
@attribute attribution8 numeric
@attribute attribution9 numeric
@attribute attribution10 numeric
@attribute attribution11 numeric
@attribute attribution12 numeric
@attribute attribution13 numeric
@attribute attribution14 numeric
@attribute class {0, 1}

@data
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
3.0,130.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
3.0,104.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
3.0,104.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
2.0,98.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
2.0,98.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
2.0,90.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
2.0,98.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
2.0,98.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
3.0,130.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
2.0,98.0,36.0,36.0,38.0,29.0,29.0,47.0,36.0,36.0,0.0,22.0,20.0,19.0,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,120.0,36.0,36.0,0.0,29.0,29.0,44.5,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
2.0,129.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,120.0,36.0,36.0,0.0,29.0,29.0,44.5,1
1.0,84.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,1
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,129.0,36.0,36.0,38.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
2.0,57.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
1.0,42.0,36.0,36.0,0.0,29.0,29.0,0.0,36.0,36.0,0.0,29.0,29.0,0.0,0
3.0,41.0,11.0,11.0,13.0,0.0,0.0,67.0,11.0,11.0,0.0,0.0,0.0,67.0,1
3.0,26.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1
3.0,41.0,11.0,11.0,13.0,0.0,0.0,54.0,11.0,11.0,0.0,0.0,0.0,54.0,1
2.0,22.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1
4.0,46.0,11.0,11.0,13.0,0.0,0.0,21.0,11.0,11.0,0.0,0.0,0.0,21.0,1
2.0,40.0,11.0,11.0,13.0,0.0,0.0,89.0,11.0,11.0,0.0,0.0,0.0,89.0,1
1.0,32.0,11.0,11.0,13.0,0.0,0.0,52.0,11.0,11.0,0.0,0.0,0.0,52.0,1
3.0,41.0,11.0,11.0,13.0,0.0,0.0,54.0,11.0,11.0,0.0,0.0,0.0,54.0,1
1.0,16.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1
1.0,16.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1
5.0,48.0,11.0,11.0,13.0,0.0,0.0,56.0,11.0,11.0,0.0,0.0,0.0,56.0,1
2.0,38.0,11.0,11.0,13.0,0.0,0.0,68.0,11.0,11.0,0.0,0.0,0.0,68.0,1
1.0,16.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,1
4.0,30.0,14.0,14.0,16.0,0.0,0.0,115.0,14.0,14.0,0.0,0.0,0.0,115.0,1
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,1
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
2.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,8.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,8.0,3.0,2.0,11.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,1
2.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
1.0,16.0,14.0,14.0,16.0,0.0,0.0,93.0,14.0,14.0,0.0,0.0,0.0,93.0,1
3.0,20.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
2.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,1
